y,x,delta,overlap_pct,psnr,ssim,mae,rmse
1408,1248,13,59.37500,27.27606,0.66784,7.93630,11.03411
1472,1344,13,59.37500,25.25138,0.64064,9.77631,13.93064
1536,352,13,59.37500,29.61838,0.72041,6.33482,8.42600
1568,1312,13,59.37500,29.69065,0.75992,5.66353,8.35618
1632,640,13,59.37500,31.80840,0.80025,4.83351,6.54818
32,192,16,50.00000,27.94032,0.68993,6.97132,10.22172
32,1152,16,50.00000,29.68977,0.67941,6.34089,8.35702
64,192,16,50.00000,30.54696,0.82846,4.88892,7.57168
64,992,16,50.00000,30.02036,0.68065,6.30670,8.04492
96,96,16,50.00000,24.81942,0.69821,9.30482,14.64094
128,1088,16,50.00000,27.49605,0.77061,8.84401,10.75815
160,160,16,50.00000,27.91964,0.65609,7.62393,10.24609
160,768,16,50.00000,21.56462,0.62774,15.27387,21.29655
288,1120,16,50.00000,28.89618,0.68140,6.95032,9.15653
288,1280,16,50.00000,26.47157,0.62676,9.09528,12.10491
448,736,16,50.00000,26.09132,0.70192,8.48273,12.64661
480,32,16,50.00000,23.57480,0.63115,12.23419,16.89663
512,384,16,50.00000,31.16174,0.80525,5.44674,7.05429
512,640,16,50.00000,26.37547,0.71948,8.80415,12.23959
640,1344,16,50.00000,28.92397,0.73480,6.64001,9.12729
704,768,16,50.00000,26.43970,0.85533,6.95780,12.14940
800,736,16,50.00000,22.48067,0.66874,13.59896,19.16490
832,512,16,50.00000,26.06896,0.72255,9.04548,12.67921
832,896,16,50.00000,22.06271,0.65188,14.35327,20.10967
896,640,16,50.00000,24.73509,0.61405,10.22506,14.78379
896,800,16,50.00000,29.74701,0.84173,5.14621,8.30214
928,160,16,50.00000,23.64741,0.59326,12.42032,16.75598
928,416,16,50.00000,25.12241,0.61792,9.85064,14.13903
992,800,16,50.00000,26.61037,0.70264,8.54932,11.91301
1024,1280,16,50.00000,22.52371,0.53455,14.32154,19.07018
1056,960,16,50.00000,27.63290,0.67102,8.01020,10.58998
1088,1312,16,50.00000,30.20506,0.77325,6.24487,7.87566
