y,x,delta,overlap_pct,psnr,ssim,mae,rmse
1376,1376,16,50.00000,29.76186,0.65784,6.19969,8.28795
1408,640,16,50.00000,35.32529,0.92769,2.94679,4.36793
1408,1248,16,50.00000,27.30533,0.71852,7.29293,10.99699
1472,1344,16,50.00000,26.65744,0.69734,7.35584,11.84863
1536,352,16,50.00000,33.32740,0.79619,4.11727,5.49756
1568,1312,16,50.00000,29.20294,0.80256,5.40048,8.83880
1632,640,16,50.00000,28.75966,0.70243,6.80590,9.30159
32,192,19,40.62500,28.84531,0.83166,7.74629,9.21032
32,1152,19,40.62500,27.05178,0.65035,8.99566,11.32273
64,192,19,40.62500,32.16956,0.79419,5.01429,6.28148
64,992,19,40.62500,27.10034,0.67023,8.84308,11.25961
96,96,19,40.62500,30.48450,0.71217,6.10144,7.62632
128,1088,19,40.62500,32.14347,0.73649,4.93042,6.30038
160,160,19,40.62500,30.15528,0.73485,6.26088,7.92093
160,768,19,40.62500,33.71119,0.87102,3.54200,5.25994
288,1120,19,40.62500,28.49286,0.72850,7.08555,9.59173
288,1280,19,40.62500,25.70701,0.58001,10.02436,13.21873
448,736,19,40.62500,27.41506,0.71674,8.80938,10.85893
480,32,19,40.62500,35.44410,0.85751,3.40494,4.30859
512,384,19,40.62500,29.33951,0.69567,6.58612,8.70091
512,640,19,40.62500,31.25011,0.87796,4.77848,6.98288
640,1344,19,40.62500,27.59191,0.65519,7.76845,10.64008
704,768,19,40.62500,33.36072,0.79166,4.30947,5.47651
800,736,19,40.62500,31.46212,0.77906,4.92167,6.81450
832,512,19,40.62500,29.74954,0.68289,6.19324,8.29972
832,896,19,40.62500,25.95666,0.56949,9.34067,12.84421
896,640,19,40.62500,32.03192,0.74440,4.87562,6.38181
896,800,19,40.62500,26.17055,0.64777,8.86806,12.53177
928,160,19,40.62500,24.50328,0.62080,10.97690,15.18365
928,416,19,40.62500,24.23849,0.73397,10.67058,15.65365
992,800,19,40.62500,32.49459,0.76393,4.74514,6.05077
1024,1280,19,40.62500,30.03530,0.71832,6.15806,8.03110
1056,960,19,40.62500,28.79003,0.71506,7.12692,9.26912
1088,1312,19,40.62500,30.69448,0.81878,6.22612,7.44417
1184,1120,19,40.62500,32.73834,0.75785,4.56634,5.88333
1216,64,19,40.62500,25.58847,0.65337,9.92390,13.40037
1248,1120,19,40.62500,30.99723,0.74342,5.35340,7.18917
1312,1280,19,40.62500,26.82499,0.73036,7.05400,11.62226
1344,384,19,40.62500,26.52013,0.69078,8.11501,12.03743
1376,864,19,40.62500,25.67284,0.76240,8.61874,13.27084
1376,1376,19,40.62500,29.83628,0.63311,6.15014,8.21724
1408,640,19,40.62500,34.23816,0.90799,3.34835,4.95031
1408,1248,19,40.62500,26.19722,0.66031,8.41127,12.49335
1472,1344,19,40.62500,26.45403,0.68349,7.36481,12.12939
1536,352,19,40.62500,31.93741,0.77106,4.99606,6.45163
1568,1312,19,40.62500,28.29860,0.77023,5.97927,9.80867
1632,640,19,40.62500,29.18069,0.63000,6.48860,8.86147
32,192,22,31.25000,28.06682,0.82615,8.77280,10.07394
32,1152,22,31.25000,24.72842,0.61245,12.29062,14.79514
64,192,22,31.25000,30.17645,0.79033,6.72130,7.90165
64,992,22,31.25000,27.13149,0.64195,8.91908,11.21930
96,96,22,31.25000,30.75945,0.69556,5.86731,7.38869
128,1088,22,31.25000,31.71162,0.70194,5.18997,6.62154
160,160,22,31.25000,29.39633,0.67798,6.89766,8.64418
160,768,22,31.25000,33.27719,0.86628,3.30018,5.52944
288,1120,22,31.25000,28.42511,0.70169,7.39509,9.66684
288,1280,22,31.25000,24.97339,0.43650,10.93798,14.38370
448,736,22,31.25000,24.86830,0.62890,12.24828,14.55878
480,32,22,31.25000,29.78713,0.82878,7.34616,8.26387
512,384,22,31.25000,28.53469,0.64792,7.02352,9.54566
512,640,22,31.25000,27.26840,0.84388,9.32347,11.04385
640,1344,22,31.25000,27.76924,0.62868,7.77872,10.42506
704,768,22,31.25000,30.50689,0.75693,6.21614,7.60669
800,736,22,31.25000,31.46745,0.72516,4.79258,6.81032
832,512,22,31.25000,29.06771,0.62837,6.82663,8.97748
832,896,22,31.25000,25.40196,0.51080,10.05443,13.69123
896,640,22,31.25000,30.29543,0.71917,6.16855,7.79414
896,800,22,31.25000,28.44038,0.62048,7.44387,9.64986
928,160,22,31.25000,22.95732,0.54298,13.62345,18.14154
928,416,22,31.25000,23.13379,0.67652,11.83318,17.77668
992,800,22,31.25000,33.12585,0.74779,4.41491,5.62662
1024,1280,22,31.25000,28.89581,0.67993,7.12194,9.15692
1056,960,22,31.25000,26.43327,0.65619,10.02608,12.15840
1088,1312,22,31.25000,28.79359,0.72478,7.68715,9.26533
1184,1120,22,31.25000,31.71618,0.72110,5.20253,6.61806
1216,64,22,31.25000,24.53323,0.58539,11.24953,15.13138
1248,1120,22,31.25000,29.64535,0.67543,6.37288,8.39988
1312,1280,22,31.25000,26.46412,0.69134,7.80383,12.11530
1344,384,22,31.25000,24.83754,0.61305,9.85221,14.61043
1376,864,22,31.25000,26.82726,0.72252,7.96187,11.61923
1376,1376,22,31.25000,29.31880,0.59605,6.65307,8.72168
1408,640,22,31.25000,34.74674,0.90433,3.28415,4.66878
1408,1248,22,31.25000,26.26735,0.60430,8.59579,12.39290
1472,1344,22,31.25000,26.01336,0.64875,8.18221,12.76063
1536,352,22,31.25000,30.43155,0.73593,6.05264,7.67295
1568,1312,22,31.25000,27.50207,0.72984,6.72753,10.75069
1632,640,22,31.25000,29.50887,0.63195,6.29934,8.53290
32,192,26,18.75000,27.08330,0.78444,9.91606,11.28172
32,1152,26,18.75000,21.70407,0.56588,18.20503,20.95738
64,192,26,18.75000,30.48973,0.74450,6.38209,7.62173
64,992,26,18.75000,28.19678,0.58338,7.62065,9.92433
96,96,26,18.75000,29.03570,0.61290,7.10852,9.01063
128,1088,26,18.75000,30.75857,0.66087,5.78556,7.38944
160,160,26,18.75000,28.82517,0.62646,7.37660,9.23170
160,768,26,18.75000,35.31641,0.91683,2.87256,4.37240
288,1120,26,18.75000,28.49346,0.64024,7.38661,9.59107
288,1280,26,18.75000,24.84867,0.39777,10.98223,14.59172
448,736,26,18.75000,24.28208,0.57270,13.32818,15.57529
480,32,26,18.75000,28.18982,0.79396,9.01837,9.93228
512,384,26,18.75000,27.57189,0.57762,7.88096,10.66463
512,640,26,18.75000,23.00956,0.81572,16.82581,18.03276
640,1344,26,18.75000,26.21596,0.49459,9.31709,12.46643
704,768,26,18.75000,32.09319,0.71093,5.02304,6.33696
800,736,26,18.75000,28.51685,0.61384,6.67804,9.56528
832,512,26,18.75000,27.89381,0.58957,7.99859,10.27661
832,896,26,18.75000,24.85045,0.38610,11.07190,14.58873
896,640,26,18.75000,30.80990,0.64754,5.75348,7.34591
896,800,26,18.75000,30.21559,0.61219,6.08564,7.86612
928,160,26,18.75000,20.77596,0.29069,18.12613,23.32074
928,416,26,18.75000,23.10546,0.59432,11.64601,17.83475
992,800,26,18.75000,30.90220,0.72407,5.80782,7.26826
1024,1280,26,18.75000,24.79363,0.51216,12.41682,14.68449
1056,960,26,18.75000,25.69878,0.58372,10.93792,13.23126
1088,1312,26,18.75000,29.58639,0.64726,6.33687,8.45708
1184,1120,26,18.75000,30.16366,0.68198,6.35884,7.91329
1216,64,26,18.75000,23.03484,0.42920,13.57619,17.98034
1248,1120,26,18.75000,27.75302,0.58567,8.22388,10.44453
1312,1280,26,18.75000,26.14511,0.67368,8.18251,12.56854
