y,x,delta,overlap_pct,psnr,ssim,mae,rmse
512,384,13,59.37500,33.97150,0.82829,4.12989,5.10464
512,640,13,59.37500,25.69087,0.68090,9.87403,13.24331
640,1344,13,59.37500,32.02235,0.77756,4.62801,6.38885
704,768,13,59.37500,28.55538,0.76412,6.81713,9.52294
800,736,13,59.37500,30.43197,0.75493,5.61183,7.67259
832,512,13,59.37500,30.36818,0.73655,5.79879,7.72914
832,896,13,59.37500,24.66365,0.66263,10.54564,14.90588
896,640,13,59.37500,29.91905,0.72211,5.82688,8.13931
896,800,13,59.37500,28.31254,0.71937,7.02298,9.79294
928,160,13,59.37500,27.94971,0.68207,7.44174,10.21068
928,416,13,59.37500,26.79325,0.83120,7.28902,11.66481
992,800,13,59.37500,27.04024,0.71184,8.32909,11.33779
1024,1280,13,59.37500,28.52594,0.71545,6.61220,9.55527
1056,960,13,59.37500,27.10895,0.67492,8.20289,11.24845
1088,1312,13,59.37500,27.74251,0.71109,6.66061,10.45719
1184,1120,13,59.37500,32.35899,0.82316,3.93596,6.14597
1216,64,13,59.37500,25.83987,0.67467,9.23308,13.01807
1248,1120,13,59.37500,27.21717,0.71191,7.89851,11.10917
1312,1280,13,59.37500,31.76349,0.75482,5.01103,6.58212
1344,384,13,59.37500,28.82993,0.74372,6.11946,9.22664
1376,864,13,59.37500,31.80450,0.89015,3.81724,6.55112
1376,1376,13,59.37500,28.93771,0.79779,7.01511,9.11286
1408,640,13,59.37500,32.93598,0.83989,3.87022,5.75097
1408,1248,13,59.37500,26.86061,0.72141,7.68118,11.57470
1472,1344,13,59.37500,32.80805,0.80346,4.11755,5.83630
1536,352,13,59.37500,35.41041,0.90212,3.48068,4.32533
1568,1312,13,59.37500,26.69463,0.72399,8.74979,11.79801
1632,640,13,59.37500,27.47666,0.77576,7.39457,10.78219
32,192,16,50.00000,28.88987,0.75377,6.21138,9.16319
32,1152,16,50.00000,23.33606,0.69159,12.02970,17.36749
64,192,16,50.00000,24.82261,0.67313,10.61194,14.63557
64,992,16,50.00000,33.39293,0.80646,4.16773,5.45624
96,96,16,50.00000,25.24435,0.71647,9.77147,13.94192
128,1088,16,50.00000,31.25259,0.72000,5.30994,6.98089
160,160,16,50.00000,25.91989,0.56254,9.22265,12.89869
160,768,16,50.00000,31.05776,0.72587,5.30446,7.13924
288,1120,16,50.00000,24.60138,0.73672,11.34187,15.01313
288,1280,16,50.00000,30.79791,0.72120,5.49652,7.35605
448,736,16,50.00000,35.29695,0.87765,3.14555,4.38221
480,32,16,50.00000,29.46783,0.72521,5.98486,8.57331
512,384,16,50.00000,34.68334,0.81843,3.67438,4.70298
512,640,16,50.00000,25.53123,0.64737,9.99094,13.48896
640,1344,16,50.00000,32.32050,0.75699,4.67992,6.17327
704,768,16,50.00000,26.80292,0.71129,8.47813,11.65183
800,736,16,50.00000,30.42500,0.73123,5.73941,7.67874
832,512,16,50.00000,30.22336,0.70589,5.95970,7.85909
832,896,16,50.00000,24.02202,0.58646,11.66949,16.04867
896,640,16,50.00000,30.26199,0.69292,5.97083,7.82421
896,800,16,50.00000,26.67912,0.68621,8.64612,11.81910
928,160,16,50.00000,26.80702,0.61335,8.81383,11.64634
928,416,16,50.00000,25.54975,0.80078,8.04894,13.46023
992,800,16,50.00000,26.04460,0.66595,9.27153,12.71482
1024,1280,16,50.00000,27.97054,0.68382,7.17390,10.18622
1056,960,16,50.00000,26.73171,0.64808,8.70648,11.74776
1088,1312,16,50.00000,29.81822,0.71972,5.74286,8.23434
1184,1120,16,50.00000,31.28492,0.81111,4.44020,6.95495
1216,64,16,50.00000,25.54116,0.65163,9.70153,13.47356
1248,1120,16,50.00000,27.54059,0.67604,7.79750,10.70313
1312,1280,16,50.00000,31.75701,0.74682,4.99555,6.58703
1344,384,16,50.00000,27.51832,0.69232,7.50873,10.73061
1376,864,16,50.00000,31.86822,0.88351,4.15716,6.50323
1376,1376,16,50.00000,27.39882,0.73926,8.28159,10.87925
1408,640,16,50.00000,32.98622,0.83326,3.92196,5.71780
1408,1248,16,50.00000,26.24083,0.67983,8.76956,12.43079
1472,1344,16,50.00000,32.76308,0.80219,4.21028,5.86660
1536,352,16,50.00000,36.04984,0.89145,3.09036,4.01835
1568,1312,16,50.00000,25.97424,0.69425,9.37519,12.81823
1632,640,16,50.00000,26.75316,0.71967,8.26887,11.71878
32,192,19,40.62500,28.25845,0.72680,6.66827,9.85411
32,1152,19,40.62500,21.98448,0.61857,14.41701,20.29160
64,192,19,40.62500,24.13976,0.64549,11.62914,15.83260
64,992,19,40.62500,32.59039,0.76575,4.59475,5.98440
96,96,19,40.62500,24.18534,0.63183,11.61007,15.74973
128,1088,19,40.62500,30.22212,0.67750,5.98850,7.86021
160,160,19,40.62500,25.31240,0.53317,10.38649,13.83312
160,768,19,40.62500,29.25471,0.66887,6.73357,8.78628
288,1120,19,40.62500,24.16081,0.70637,11.31523,15.79428
288,1280,19,40.62500,30.17866,0.68668,5.82407,7.89964
448,736,19,40.62500,32.81481,0.87574,4.12283,5.83176
480,32,19,40.62500,28.69154,0.71570,6.57455,9.37482
512,384,19,40.62500,35.45266,0.82703,3.36780,4.30434
512,640,19,40.62500,24.90757,0.61826,10.61126,14.49312
640,1344,19,40.62500,31.53798,0.71208,5.11872,6.75525
704,768,19,40.62500,25.69619,0.66105,9.49008,13.23521
800,736,19,40.62500,28.67664,0.66789,6.86204,9.39092
832,512,19,40.62500,29.11138,0.65317,6.75650,8.93246
832,896,19,40.62500,23.45228,0.49592,12.68247,17.13667
896,640,19,40.62500,29.96969,0.62801,6.17252,8.09199
896,800,19,40.62500,26.09665,0.65036,9.22810,12.63885
928,160,19,40.62500,26.33787,0.55218,9.35010,12.29268
928,416,19,40.62500,23.71941,0.75620,10.59104,16.61766
992,800,19,40.62500,25.79855,0.60844,9.68717,13.08015
1024,1280,19,40.62500,27.07098,0.61949,8.12680,11.29773
1056,960,19,40.62500,26.08632,0.60849,9.40897,12.65390
1088,1312,19,40.62500,30.17626,0.67780,6.02864,7.90182
1184,1120,19,40.62500,32.73903,0.82018,3.89333,5.88286
1216,64,19,40.62500,25.37108,0.60648,9.80036,13.73999
1248,1120,19,40.62500,26.92435,0.64816,8.48741,11.49008
1312,1280,19,40.62500,30.23289,0.68647,6.02427,7.85047
1344,384,19,40.62500,25.98692,0.63560,9.14258,12.79953
1376,864,19,40.62500,32.56743,0.87151,4.71659,6.00024
1376,1376,19,40.62500,27.19816,0.70348,8.46704,11.13352
1408,640,19,40.62500,32.65858,0.81992,4.09896,5.93760
1408,1248,19,40.62500,25.41005,0.64477,9.47238,13.67847
1472,1344,19,40.62500,32.61818,0.76353,4.47987,5.96528
1536,352,19,40.62500,35.04686,0.88042,3.65230,4.51022
1568,1312,19,40.62500,26.14834,0.67974,9.00992,12.56386
1632,640,19,40.62500,25.33042,0.68398,10.39601,13.80445
32,192,22,31.25000,27.60882,0.69477,7.00309,10.61938
32,1152,22,31.25000,20.96931,0.60071,16.50680,22.80734
64,192,22,31.25000,22.74708,0.56245,14.57092,18.58601
64,992,22,31.25000,33.42826,0.75399,4.15839,5.43410
96,96,22,31.25000,23.58534,0.59215,12.49641,16.87614
128,1088,22,31.25000,29.73469,0.65341,6.43917,8.31391
160,160,22,31.25000,24.70399,0.49748,11.51469,14.83681
160,768,22,31.25000,29.24622,0.62952,6.66029,8.79487
288,1120,22,31.25000,22.21191,0.62068,15.12368,19.76719
288,1280,22,31.25000,29.56910,0.65475,6.20592,8.47394
448,736,22,31.25000,29.92733,0.83924,5.64404,8.13156
480,32,22,31.25000,28.23175,0.69593,6.98737,9.88445
512,384,22,31.25000,33.99329,0.79241,4.05269,5.09185
512,640,22,31.25000,24.95211,0.59961,10.20060,14.41899
640,1344,22,31.25000,31.44576,0.67694,5.30509,6.82735
704,768,22,31.25000,24.85437,0.62247,10.64005,14.58216
800,736,22,31.25000,28.41119,0.66083,6.95483,9.68235
832,512,22,31.25000,27.95174,0.58186,7.77619,10.20829
832,896,22,31.25000,22.28157,0.39764,14.59275,19.60929
896,640,22,31.25000,28.96400,0.56839,7.00905,9.08531
896,800,22,31.25000,25.75092,0.59581,9.48281,13.15207
928,160,22,31.25000,25.84472,0.51714,10.08412,13.01080
928,416,22,31.25000,23.05769,0.69753,10.86612,17.93311
992,800,22,31.25000,25.23475,0.52659,10.49267,13.95734
1024,1280,22,31.25000,26.63724,0.58446,8.55312,11.87622
1056,960,22,31.25000,25.45447,0.56324,10.24498,13.60870
1088,1312,22,31.25000,30.23636,0.63954,5.97775,7.84733
1184,1120,22,31.25000,30.91138,0.77088,5.67558,7.26057
1216,64,22,31.25000,24.36738,0.54492,11.13677,15.42308
